time,open,high,low,close
2023-01-10T11:00:00+05:30,17971,17973.85,17927.1,17940
2023-01-10T12:00:00+05:30,17939.75,17974.7,17878.15,17881.35
2023-01-10T13:00:00+05:30,17881.4,17913.35,17859.9,17904.35
2023-01-10T14:00:00+05:30,17904.65,17918.85,17856,17892.8
2023-01-10T15:00:00+05:30,17894.65,17928.9,17886.35,17914.15
2023-01-11T09:00:00+05:30,17924.25,17938.7,17824.35,17890.3
2023-01-11T10:00:00+05:30,17890.75,17976.35,17885.75,17900.3
2023-01-11T11:00:00+05:30,17900.45,17924.2,17871,17915.85
2023-01-11T12:00:00+05:30,17915.45,17929.15,17881.85,17899.2
2023-01-11T13:00:00+05:30,17898.45,17931.85,17891.8,17894.1
2023-01-11T14:00:00+05:30,17892.85,17939.7,17865,17933.8
2023-01-11T15:00:00+05:30,17933.3,17935.75,17879.3,17895.7
2023-01-12T09:00:00+05:30,17920.85,17945.8,17869.9,17884.25
2023-01-12T10:00:00+05:30,17883.55,17889.65,17811.65,17827.9
2023-01-12T11:00:00+05:30,17827.55,17835.85,17780.7,17786.45
2023-01-12T12:00:00+05:30,17786.4,17852.3,17785.2,17836.6
2023-01-12T13:00:00+05:30,17834.25,17849.45,17761.65,17810.4
2023-01-12T14:00:00+05:30,17809.35,17862.2,17809.1,17820.15
2023-01-12T15:00:00+05:30,17819,17869.25,17819,17858.2
2023-01-13T09:00:00+05:30,17867.5,17872.6,17775.85,17782.8
2023-01-13T10:00:00+05:30,17781.95,17833.9,17774.25,17811.8
2023-01-13T11:00:00+05:30,17812,17840.05,17808.9,17831.6
2023-01-13T12:00:00+05:30,17831.95,17938.1,17828.2,17932.15
2023-01-13T13:00:00+05:30,17931.95,17992.9,17929.9,17981.7
2023-01-13T14:00:00+05:30,17980.5,17999.35,17939.1,17952.35
2023-01-13T15:00:00+05:30,17951.35,17970.6,17934.55,17956.6
2023-01-16T09:00:00+05:30,18033.15,18049.65,17942.65,17977.95
2023-01-16T10:00:00+05:30,17979.2,17991.3,17957.35,17977.55
2023-01-16T11:00:00+05:30,17977.3,17978.7,17924.3,17928.35
2023-01-16T12:00:00+05:30,17928.75,17931.15,17871.15,17889.8
2023-01-16T13:00:00+05:30,17889.95,17944.3,17863.55,17869.35
2023-01-16T14:00:00+05:30,17868.25,17894.45,17853.65,17876.5
2023-01-16T15:00:00+05:30,17877.8,17904.45,17875.3,17894.85
2023-01-17T09:00:00+05:30,17922.8,18005.5,17886.95,18005.2
2023-01-17T10:00:00+05:30,18005.7,18029.95,17978.3,17988.15
2023-01-17T11:00:00+05:30,17987.95,18018.5,17970.65,18010
2023-01-17T12:00:00+05:30,18009.8,18010.9,17958.05,17960.65
2023-01-17T13:00:00+05:30,17960.95,17994.85,17926.7,17978.65
2023-01-17T14:00:00+05:30,17979.3,18014.95,17963.8,17997.75
2023-01-17T15:00:00+05:30,17999.05,18072.05,17999.05,18053.3
2023-01-18T09:00:00+05:30,18074.3,18116.6,18032.45,18113.3
2023-01-18T10:00:00+05:30,18113.05,18131.9,18101.25,18116.35
2023-01-18T11:00:00+05:30,18116.2,18173.35,18112.3,18160.8
2023-01-18T12:00:00+05:30,18160.4,18177.45,18149.25,18150.35
2023-01-18T13:00:00+05:30,18150.2,18180.4,18145.6,18160.6
2023-01-18T14:00:00+05:30,18160.85,18183.75,18136.8,18175
2023-01-18T15:00:00+05:30,18176.65,18177.8,18150.65,18165.35
2023-01-19T09:00:00+05:30,18119.8,18139.7,18079.3,18098.2
2023-01-19T10:00:00+05:30,18098,18127.9,18063.75,18127.65
2023-01-19T11:00:00+05:30,18127.6,18155.2,18109.3,18126
2023-01-19T12:00:00+05:30,18126.05,18144.9,18106.1,18112.55
2023-01-19T13:00:00+05:30,18112.6,18129.2,18104.95,18118.1
2023-01-19T14:00:00+05:30,18118.45,18138.2,18087.5,18092.55
